"crash_record_id","rd_no","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"e8b2fd3210597f2691080ea0c2f405c96ad30158a83d0871989e1575301a506f632e6bfe6cebd31c3a337b312803577cb957e657e0efb7f8bc685b79517aa87b",,,"2022-03-23T04:06:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"$501 - $1,500","2022-03-23T04:06:00.000","DISREGARDING TRAFFIC SIGNALS","FAILING TO YIELD RIGHT-OF-WAY","3400","N","WESTERN AVE","1921",,,,,,,,,,,,,,,,"4","4","3","41.943187373","-87.688302021","POINT (-87.688302020702 41.943187373182)"
"9da07f301572a382a78963f4c2455dfaae7cceb63d714e6227d9cdfe5941e36b1d226d3c2dad869d95661e9fdd1e77c04c767fef40497c7f5051239aa20d4611",,,"2022-03-23T03:00:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","FIXED OBJECT","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2022-03-23T03:14:00.000","WEATHER","NOT APPLICABLE","2912","W","IRVING PARK RD","1724",,,,,,,,,,,,,,,,"3","4","3","41.954068958","-87.70129468","POINT (-87.701294680241 41.954068957935)"
"3c298987dca2de7a678ebe471d2f0cb655a1137f43f18e1a9d8f425c7eec84fa1219f3edce4ec0465e52992112dba013b97b428cc7033e919a50ee491b868e57",,"N","2022-03-23T02:05:00.000","35","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","FIXED OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2022-03-23T02:06:00.000","DISTRACTION - FROM OUTSIDE VEHICLE","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST","4801","N","TRIPP AVE","1712",,,,,,,,,,,,,,,,"2","4","3","41.968267648","-87.734057248","POINT (-87.734057247598 41.968267647901)"
"f29db08fa944374ed45f16623e7386bccf00f62ca102452e1ff1fe87bf62ca3441db12de890ebee3312881590b77c3f450e8734ed0d9d684d23e0b7339f2328f",,,"2022-03-23T01:34:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2022-03-23T01:35:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","NOT APPLICABLE","948","N","PULASKI RD","1111",,,,,,,,,,,,,,,,"1","4","3","41.898644518","-87.726330031","POINT (-87.726330031203 41.898644517516)"
"2d96cfb6adc6e1abdf73b0c95e958ebd5bfc06eaeafd43b9ccfdc99855542aab7efe6e6fe8d57c5a5780577716481a493098bff335e16666d82a37039f509cf0",,,"2022-03-23T00:55:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2022-03-23T00:59:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","6700","S","DAMEN AVE","726",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","0","4","3","41.772030915","-87.673859538","POINT (-87.673859538093 41.772030915088)"
"878940067d5f0d9f0ff7c43ead0e1cdfb6ee710066e62afaa65b2c8e928971f4a1d2b8705df21fb57deadc8c451aa701444d95368ad5a8d40b0ccf9065a5428b",,,"2022-03-23T00:28:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2022-03-23T00:28:00.000","FOLLOWING TOO CLOSELY","FAILING TO REDUCE SPEED TO AVOID CRASH","2823","W","GRANVILLE AVE","2413",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","0","4","3","41.9938572","-87.700500114","POINT (-87.700500113761 41.993857200113)"
"42bf48bb68e454d2968128d766a51fae5dc100a5ad41f51ba763f6559e5cfd82d31c560777b95325132aa6a3f442de8ea728f833e602d0519e4b51e8b1b74997",,,"2022-03-23T00:20:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","FIXED OBJECT","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"$501 - $1,500","2022-03-23T00:20:00.000","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST","UNABLE TO DETERMINE","798","N","LAMON AVE","1531",,,,,,,"1","NONINCAPACITATING INJURY","1","0","0","1","0","1","0","0","4","3","41.894934023","-87.748402755","POINT (-87.748402754582 41.894934022776)"
"258c9a4fa4fbfd752459dc6af799883f2e11a73773fa84df3774fa3b51984d2f7b061d19705e0ed8b2863c01e0c8e0ea6bff0340411b5ec579a170acd97aa9ab",,,"2022-03-22T23:35:00.000","30","NO CONTROLS","NO CONTROLS","CLOUDY/OVERCAST","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2022-03-22T23:37:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1438","W","MONTROSE AVE","1912",,,,,,,"4","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","3","3","41.961738159","-87.666464367","POINT (-87.666464367494 41.961738158884)"
"950f69f1d50fb81c5f15fe39cdac643543d1c009b6a2674bdf63a50b5d2b1f20b3fbf620b0cea8876cbfbd502579a691098e2613c1d951633dfd4a0c02f7a455",,,"2022-03-22T23:25:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS","OTHER OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","DEBRIS ON ROADWAY","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$500 OR LESS","2022-03-22T23:45:00.000","NOT APPLICABLE","NOT APPLICABLE","1859","S","KEDZIE AVE","1022",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","3","3","41.856068721","-87.705230847","POINT (-87.705230846821 41.856068720948)"
"4dcc545ce120d510ff65e74cd73d143afca3b06946453602b8fcc4f19d05275d6c817f2d8adc11e470e0ce58b7451f1c4b0190e82705a896e4f5082ee72007b1",,,"2022-03-22T23:10:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","REAR END","CENTER TURN LANE",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"$501 - $1,500","2022-03-22T23:12:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","NOT APPLICABLE","4700","S","ARCHER AVE","821",,,,,,,"3","REPORTED, NOT EVIDENT","3","0","0","0","3","2","0","23","3","3","41.808013005","-87.714379623","POINT (-87.714379623416 41.808013005188)"
