"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1303531","DRIVER","2d96cfb6adc6e1abdf73b0c95e958ebd5bfc06eaeafd43b9ccfdc99855542aab7efe6e6fe8d57c5a5780577716481a493098bff335e16666d82a37039f509cf0",,"1237935","2022-03-23T00:55:00.000",,"CHICAGO","IL","60620","F","33","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DNA",,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303532","DRIVER","2d96cfb6adc6e1abdf73b0c95e958ebd5bfc06eaeafd43b9ccfdc99855542aab7efe6e6fe8d57c5a5780577716481a493098bff335e16666d82a37039f509cf0",,"1237941","2022-03-23T00:55:00.000",,"CHICAGO","IL","60620","M","43","IL",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P290164","PASSENGER","2d96cfb6adc6e1abdf73b0c95e958ebd5bfc06eaeafd43b9ccfdc99855542aab7efe6e6fe8d57c5a5780577716481a493098bff335e16666d82a37039f509cf0",,"1237935","2022-03-23T00:55:00.000","3",,"IL",,"M","33",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DNA",,,,,,,,,,,
"O1303513","DRIVER","878940067d5f0d9f0ff7c43ead0e1cdfb6ee710066e62afaa65b2c8e928971f4a1d2b8705df21fb57deadc8c451aa701444d95368ad5a8d40b0ccf9065a5428b",,"1237922","2022-03-23T00:28:00.000",,"CHICAGO","IL","60659","F","60","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","EMOTIONAL",,,,"TEST NOT OFFERED",,
"O1303514","DRIVER","878940067d5f0d9f0ff7c43ead0e1cdfb6ee710066e62afaa65b2c8e928971f4a1d2b8705df21fb57deadc8c451aa701444d95368ad5a8d40b0ccf9065a5428b",,"1237924","2022-03-23T00:28:00.000",,"CHICAGO","IL","60626","M","30","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303524","DRIVER","42bf48bb68e454d2968128d766a51fae5dc100a5ad41f51ba763f6559e5cfd82d31c560777b95325132aa6a3f442de8ea728f833e602d0519e4b51e8b1b74997",,"1237929","2022-03-23T00:20:00.000",,"CHICAGO","IL","60644","F","27","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","STROGER","CFD",,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P290163","PASSENGER","42bf48bb68e454d2968128d766a51fae5dc100a5ad41f51ba763f6559e5cfd82d31c560777b95325132aa6a3f442de8ea728f833e602d0519e4b51e8b1b74997",,"1237929","2022-03-23T00:20:00.000","3","CHICAGO","IL","60644","M","27",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","STROGER","CFD","10",,,,,,,,,
"O1303518","DRIVER","258c9a4fa4fbfd752459dc6af799883f2e11a73773fa84df3774fa3b51984d2f7b061d19705e0ed8b2863c01e0c8e0ea6bff0340411b5ec579a170acd97aa9ab",,"1237926","2022-03-22T23:35:00.000",,"RALEIGH","NC","27607","M","20",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY","REFUSED",,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P290162","PASSENGER","258c9a4fa4fbfd752459dc6af799883f2e11a73773fa84df3774fa3b51984d2f7b061d19705e0ed8b2863c01e0c8e0ea6bff0340411b5ec579a170acd97aa9ab",,"1237926","2022-03-22T23:35:00.000","3","CHICAGO","IL","60619","M",,,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY","REFUSED",,,,,,,,,,,
"O1303497","DRIVER","950f69f1d50fb81c5f15fe39cdac643543d1c009b6a2674bdf63a50b5d2b1f20b3fbf620b0cea8876cbfbd502579a691098e2613c1d951633dfd4a0c02f7a455",,"1237908","2022-03-22T23:25:00.000",,"CHICAGO","IL","60623","M",,"IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","OTHER","NORMAL",,,,"TEST NOT OFFERED",,
"P290158","PASSENGER","950f69f1d50fb81c5f15fe39cdac643543d1c009b6a2674bdf63a50b5d2b1f20b3fbf620b0cea8876cbfbd502579a691098e2613c1d951633dfd4a0c02f7a455",,"1237908","2022-03-22T23:25:00.000","3","CHICAGO","IL","60623","F",,,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303484","DRIVER","4dcc545ce120d510ff65e74cd73d143afca3b06946453602b8fcc4f19d05275d6c817f2d8adc11e470e0ce58b7451f1c4b0190e82705a896e4f5082ee72007b1",,"1237900","2022-03-22T23:10:00.000",,"CHICAGO","IL","60629","M","20","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT","HOLY CROSS","CFD",,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303485","DRIVER","4dcc545ce120d510ff65e74cd73d143afca3b06946453602b8fcc4f19d05275d6c817f2d8adc11e470e0ce58b7451f1c4b0190e82705a896e4f5082ee72007b1",,"1237913","2022-03-22T23:10:00.000",,"BURBANK","IL","60459","F","71","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT","ST ANTHONYS","CFD",,"NONE","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303486","DRIVER","4dcc545ce120d510ff65e74cd73d143afca3b06946453602b8fcc4f19d05275d6c817f2d8adc11e470e0ce58b7451f1c4b0190e82705a896e4f5082ee72007b1",,"1237920","2022-03-22T23:10:00.000",,"CHICAGO","IL","60632","F","20","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P290160","PASSENGER","4dcc545ce120d510ff65e74cd73d143afca3b06946453602b8fcc4f19d05275d6c817f2d8adc11e470e0ce58b7451f1c4b0190e82705a896e4f5082ee72007b1",,"1237913","2022-03-22T23:10:00.000","3","BERWYN","IL","60402","F","77",,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT","ST ANTHONYS","CFD","69",,,,,,,,,
"P290161","PASSENGER","4dcc545ce120d510ff65e74cd73d143afca3b06946453602b8fcc4f19d05275d6c817f2d8adc11e470e0ce58b7451f1c4b0190e82705a896e4f5082ee72007b1",,"1237920","2022-03-22T23:10:00.000","3","CHICAGO","IL","60632","F","24",,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303492","DRIVER","0d80c8b78ca8e28ea78a3dd1559548b871cc1214b07605e530316a92bc9b6b2a9da4a77105348e710897a71ed39ad7012698a0a273195baa00ed22006da7901c",,"1237898","2022-03-22T22:30:00.000",,"CHICAGO","IL","60628","M","48","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303493","DRIVER","0d80c8b78ca8e28ea78a3dd1559548b871cc1214b07605e530316a92bc9b6b2a9da4a77105348e710897a71ed39ad7012698a0a273195baa00ed22006da7901c",,"1237901","2022-03-22T22:30:00.000",,"CHICAGO","IL","60628","M","46","IL","D","USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303522","DRIVER","86bff7435d4a0d5bda0bbb0e4bb0e605d87fb2ed9b750e600657b018c1a25c4d6e4ebc7897ad04882b4e293b5f225dc2e479dd0c529925fdc088cf42b4a96b8d",,"1237928","2022-03-22T22:26:00.000",,"PARK FOREST","IL","60466","F","28","IL",,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NONINCAPACITATING INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303523","DRIVER","86bff7435d4a0d5bda0bbb0e4bb0e605d87fb2ed9b750e600657b018c1a25c4d6e4ebc7897ad04882b4e293b5f225dc2e479dd0c529925fdc088cf42b4a96b8d",,"1237933","2022-03-22T22:26:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303500","DRIVER","709e8e26c32d3402505a042c991e6b7740caf37831f8598c2bd184037203e129f6b3161c87435b8ae65e2ef374c39dd8263181e37502539c638225c97b408212",,"1237904","2022-03-22T22:15:00.000",,"CHICAGO","IL","60632","M","25","IL","D","USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303470","DRIVER","910b34e2632e326c0497a53adc628d0c26edf5e58d7b262a9ad1324e63cba45b144ba5fc9f408146520082c56dd303382eda929bfa67c19e8b40d0fe4ff32ddf",,"1237881","2022-03-22T20:40:00.000",,"GURNEE","IL","60031","M","27","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY","DNA",,,"IMPROPER LANE CHANGE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303471","DRIVER","910b34e2632e326c0497a53adc628d0c26edf5e58d7b262a9ad1324e63cba45b144ba5fc9f408146520082c56dd303382eda929bfa67c19e8b40d0fe4ff32ddf",,"1237882","2022-03-22T20:40:00.000",,"CHICAGO","IL","60641","M","60","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DNA",,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303480","DRIVER","1c93b8f640d037fce1899ec671d6d634db8459ef69068e49a61f1db10e2272684b75bf0424d88cfc5850b4926ac62c6e08487fd3726456e9f9308eacf292635a",,"1237892","2022-03-22T20:30:00.000",,"CHICAGO","IL","60659","M",,"IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303481","DRIVER","1c93b8f640d037fce1899ec671d6d634db8459ef69068e49a61f1db10e2272684b75bf0424d88cfc5850b4926ac62c6e08487fd3726456e9f9308eacf292635a",,"1237893","2022-03-22T20:30:00.000",,"CHICAGO","IL","60630","F","55","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303511","DRIVER","4f68e5202a7e5b20e1579c0ebe9a298d68c58fa803633bd20a95ca8a764626183a5dd0323ea97459e75e7f6d2116c28c83eda58fda9cf66e911196083a50a51f",,"1237919","2022-03-22T20:30:00.000",,"CHICAGO","IL",,"M",,"IL",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","FATIGUED/ASLEEP",,,,"TEST NOT OFFERED",,
"O1303512","DRIVER","4f68e5202a7e5b20e1579c0ebe9a298d68c58fa803633bd20a95ca8a764626183a5dd0323ea97459e75e7f6d2116c28c83eda58fda9cf66e911196083a50a51f",,"1237921","2022-03-22T20:30:00.000",,"GURNEE","IL",,"M",,"IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303463","DRIVER","0d57cb6981b09bf91ad667c257fa40a9dca3ef72e6b40cc50f6bce12170878a3353933a8f31241777632d8e555500a2df85c2eed263ae2fa4daa5d845eee9b14",,"1237869","2022-03-22T20:20:00.000",,"CHICAGO","IL","60631","M","19","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303464","DRIVER","0d57cb6981b09bf91ad667c257fa40a9dca3ef72e6b40cc50f6bce12170878a3353933a8f31241777632d8e555500a2df85c2eed263ae2fa4daa5d845eee9b14",,"1237875","2022-03-22T20:20:00.000",,"CHICAGO","IL","60634","F","65","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303465","DRIVER","0d57cb6981b09bf91ad667c257fa40a9dca3ef72e6b40cc50f6bce12170878a3353933a8f31241777632d8e555500a2df85c2eed263ae2fa4daa5d845eee9b14",,"1237878","2022-03-22T20:20:00.000",,"CHICAGO","IL","60634","F","35","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
