"crash_unit_id","crash_record_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1303531","2d96cfb6adc6e1abdf73b0c95e958ebd5bfc06eaeafd43b9ccfdc99855542aab7efe6e6fe8d57c5a5780577716481a493098bff335e16666d82a37039f509cf0",,"2022-03-23T00:55:00.000","1","DRIVER","1","1237935",,"DODGE","CHARGER","IL","2021","UNKNOWN","PASSENGER","PERSONAL","S","TURNING RIGHT",,,"2",,,,,,,,,,,,,,"Y","Y",,"Y","TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303532","2d96cfb6adc6e1abdf73b0c95e958ebd5bfc06eaeafd43b9ccfdc99855542aab7efe6e6fe8d57c5a5780577716481a493098bff335e16666d82a37039f509cf0",,"2022-03-23T00:55:00.000","2","DRIVER",,"1237941",,"GENERAL MOTORS CORPORATION (GMC)","YUKON","IL","2005","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,"Y","Y",,,,,,,,,,"N","Y","FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303513","878940067d5f0d9f0ff7c43ead0e1cdfb6ee710066e62afaa65b2c8e928971f4a1d2b8705df21fb57deadc8c451aa701444d95368ad5a8d40b0ccf9065a5428b",,"2022-03-23T00:28:00.000","1","DRIVER",,"1237922",,"LEXUS","RX300","IL","1999","UNKNOWN","PASSENGER","PERSONAL","W","TURNING LEFT",,,"1",,,,,,,,,,,,,,,"Y","Y",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303514","878940067d5f0d9f0ff7c43ead0e1cdfb6ee710066e62afaa65b2c8e928971f4a1d2b8705df21fb57deadc8c451aa701444d95368ad5a8d40b0ccf9065a5428b",,"2022-03-23T00:28:00.000","2","DRIVER",,"1237924",,"FORD","EXPLORER","IL","2017","NONE","SPORT UTILITY VEHICLE (SUV)","POLICE","W","TURNING LEFT",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303524","42bf48bb68e454d2968128d766a51fae5dc100a5ad41f51ba763f6559e5cfd82d31c560777b95325132aa6a3f442de8ea728f833e602d0519e4b51e8b1b74997",,"2022-03-23T00:20:00.000","1","DRIVER","1","1237929",,"FORD","OTHER (EXPLAIN IN NARRATIVE)","IL",,"NONE","SPORT UTILITY VEHICLE (SUV)","POLICE","E","AVOIDING VEHICLES/OBJECTS","Y",,"2",,,,,,,,,,,,,,"Y","Y","Y",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303518","258c9a4fa4fbfd752459dc6af799883f2e11a73773fa84df3774fa3b51984d2f7b061d19705e0ed8b2863c01e0c8e0ea6bff0340411b5ec579a170acd97aa9ab",,"2022-03-22T23:35:00.000","1","DRIVER","1","1237926",,"NISSAN","ROGUE","IL","2018","UNKNOWN","UNKNOWN/NA","PERSONAL","E","SKIDDING/CONTROL LOSS","Y",,"2",,"private",,,"Y",,,,,,,,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303519","258c9a4fa4fbfd752459dc6af799883f2e11a73773fa84df3774fa3b51984d2f7b061d19705e0ed8b2863c01e0c8e0ea6bff0340411b5ec579a170acd97aa9ab",,"2022-03-22T23:35:00.000","2","PARKED",,"1237932",,"VOLKSWAGEN","OTHER (EXPLAIN IN NARRATIVE)","IL","2018","NONE","PASSENGER","PERSONAL","W","PARKED",,,"0",,,,,"Y",,,,"Y","Y","Y",,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303520","258c9a4fa4fbfd752459dc6af799883f2e11a73773fa84df3774fa3b51984d2f7b061d19705e0ed8b2863c01e0c8e0ea6bff0340411b5ec579a170acd97aa9ab",,"2022-03-22T23:35:00.000","3","PARKED",,"1237938",,"HONDA","OTHER (EXPLAIN IN NARRATIVE)","IL","2006","NONE","PASSENGER","PERSONAL","W","PARKED",,,"0",,,,,"Y",,,,"Y","Y","Y",,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303521","258c9a4fa4fbfd752459dc6af799883f2e11a73773fa84df3774fa3b51984d2f7b061d19705e0ed8b2863c01e0c8e0ea6bff0340411b5ec579a170acd97aa9ab",,"2022-03-22T23:35:00.000","4","PARKED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303497","950f69f1d50fb81c5f15fe39cdac643543d1c009b6a2674bdf63a50b5d2b1f20b3fbf620b0cea8876cbfbd502579a691098e2613c1d951633dfd4a0c02f7a455",,"2022-03-22T23:25:00.000","1","DRIVER","1","1237908",,"FORD","EXPLORER","IL","2000","NONE","PASSENGER","POLICE","N","STRAIGHT AHEAD",,,"2",,,,,"Y","Y",,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
